method,dataset,n,accuracy_mean,accuracy_std,ece_mean,ece_std,nll_mean,nll_std,brier_mean,brier_std,source
LoRA,cifar,3,0.839167,0.003104,0.083049,0.001393,0.650737,0.006839,0.252110,0.003366,local
LoRA,caltech101,3,0.944206,0.003888,0.024010,0.003081,0.220783,0.010651,0.087828,0.004631,local
LoRA,dtd,3,0.680496,0.006329,0.205130,0.008258,1.587000,0.025087,0.513325,0.008717,local
PACE,cifar,3,0.866167,0.000492,0.321333,0.001738,0.992046,0.001756,0.320600,0.000483,local
PACE,caltech101,3,0.948591,0.001831,0.297891,0.001491,0.601102,0.004158,0.181849,0.001934,local
PACE,dtd,3,0.691135,0.010317,0.224760,0.006671,1.504371,0.035814,0.495625,0.014411,local
PACE-KL,cifar,3,0.856600,0.004065,0.034424,0.004900,0.563417,0.006687,0.218097,0.003950,local
PACE-KL,caltech101,3,0.951891,0.001076,0.015577,0.000559,0.205299,0.003885,0.076768,0.001510,local
PACE-KL,dtd,3,0.700887,0.000663,0.177367,0.005475,1.451333,0.028518,0.472225,0.004147,local
PACE-KL + Margin,cifar,3,0.857500,0.004055,0.071384,0.002457,0.590385,0.013064,0.225789,0.004043,local
PACE-KL + Margin,caltech101,3,0.950979,0.001520,0.021746,0.000744,0.199242,0.004478,0.077378,0.002026,local
PACE-KL + Margin,dtd,3,0.704433,0.001958,0.175007,0.006562,1.429764,0.011291,0.469508,0.004269,local
PACE + PAC-Bayes,cifar,3,0.866567,0.002207,0.026865,0.002204,0.577304,0.008333,0.208988,0.003787,local
PACE + PAC-Bayes,caltech101,3,0.951109,0.002074,0.036431,0.000977,0.241454,0.003869,0.081316,0.001780,local
PACE + PAC-Bayes,dtd,3,0.689362,0.006826,0.077111,0.004566,1.232860,0.015995,0.440850,0.005112,local
PACE-KL + PAC-Bayes,cifar,3,0.851567,0.002869,0.075303,0.001956,0.600866,0.010810,0.232884,0.003912,local
PACE-KL + PAC-Bayes,caltech101,3,0.948895,0.001904,0.021792,0.000954,0.200290,0.003534,0.080284,0.001863,local
PACE-KL + PAC-Bayes,dtd,3,0.698936,0.003909,0.186084,0.001649,1.468706,0.011562,0.482621,0.000742,local
PACE-KL + Margin + PAC-Bayes,cifar,3,0.855467,0.002363,0.066944,0.001164,0.569044,0.010467,0.224578,0.003620,local
PACE-KL + Margin + PAC-Bayes,caltech101,3,0.950762,0.002095,0.018218,0.001992,0.195992,0.005378,0.078043,0.002507,local
PACE-KL + Margin + PAC-Bayes,dtd,3,0.695213,0.006572,0.177173,0.004196,1.399146,0.010432,0.474124,0.004866,local
PACE + IVON,caltech101,3,0.936800,0.000000,0.306600,0.000000,0.642500,0.000000,0.204600,0.000000,GPU pasted aggregate; std not copied locally
PACE + IVON,cifar,3,0.853600,0.000000,0.353400,0.000000,1.064300,0.000000,0.359000,0.000000,GPU pasted aggregate; std not copied locally
PACE + IVON,dtd,3,0.701200,0.000000,0.234500,0.000000,1.420000,0.000000,0.484900,0.000000,GPU pasted aggregate; std not copied locally
PACE + IVON MC10,caltech101,3,0.935500,0.000000,0.314700,0.000000,0.660500,0.000000,0.211700,0.000000,GPU pasted aggregate; std not copied locally
PACE + IVON MC10,cifar,3,0.855200,0.000000,0.366900,0.000000,1.079600,0.000000,0.367000,0.000000,GPU pasted aggregate; std not copied locally
PACE + IVON MC10,dtd,3,0.701200,0.000000,0.249000,0.000000,1.439600,0.000000,0.492100,0.000000,GPU pasted aggregate; std not copied locally
PACE-KL + IVON,caltech101,3,0.947600,0.000000,0.018000,0.000000,0.224300,0.000000,0.083300,0.000000,GPU pasted aggregate; std not copied locally
PACE-KL + IVON,cifar,3,0.852400,0.000000,0.027200,0.000000,0.583900,0.000000,0.223800,0.000000,GPU pasted aggregate; std not copied locally
PACE-KL + IVON,dtd,3,0.698000,0.000000,0.150700,0.000000,1.298100,0.000000,0.461400,0.000000,GPU pasted aggregate; std not copied locally
PACE-KL + IVON MC10,caltech101,3,0.947500,0.000000,0.027800,0.000000,0.230000,0.000000,0.085000,0.000000,GPU pasted aggregate; std not copied locally
PACE-KL + IVON MC10,cifar,3,0.852100,0.000000,0.018100,0.000000,0.567100,0.000000,0.220900,0.000000,GPU pasted aggregate; std not copied locally
PACE-KL + IVON MC10,dtd,3,0.700000,0.000000,0.115800,0.000000,1.214700,0.000000,0.442500,0.000000,GPU pasted aggregate; std not copied locally
