dataset,method,n,seeds,fit_count,eval_count,full_raw_accuracy_mean,full_raw_accuracy_std,full_raw_ece_mean,full_raw_ece_std,full_raw_nll_mean,full_raw_nll_std,full_raw_brier_mean,full_raw_brier_std,full_raw_avg_confidence_mean,full_raw_avg_confidence_std,split_raw_accuracy_mean,split_raw_accuracy_std,split_raw_ece_mean,split_raw_ece_std,split_raw_nll_mean,split_raw_nll_std,split_raw_brier_mean,split_raw_brier_std,split_raw_avg_confidence_mean,split_raw_avg_confidence_std,split_ts_accuracy_mean,split_ts_accuracy_std,split_ts_ece_mean,split_ts_ece_std,split_ts_nll_mean,split_ts_nll_std,split_ts_brier_mean,split_ts_brier_std,split_ts_avg_confidence_mean,split_ts_avg_confidence_std,temperature_mean,temperature_std
caltech101,LoRA,3,42 123 456,3838,3839,0.944205641746521,0.004761733849105878,0.024010247861345608,0.0037732997325908317,0.22078258792559305,0.013044330195623352,0.08782778431971867,0.0056716478873975575,0.965025007724762,0.002087053261225377,0.9419119556744894,0.005024033339310409,0.02792252165575822,0.003110051618479376,0.22910905381043753,0.010291984149621174,0.09182895720005035,0.005272627632059279,0.9648745656013489,0.0007581948105679528,0.9419119556744894,0.005024033339310409,0.02470366097986698,0.002621528104374894,0.22668465475241342,0.009883231552200427,0.09136797239383061,0.005098573360746697,0.961733877658844,0.0003847322287167406,1.0390777587890625,0.009967228458813046
caltech101,PACE,3,42 123 456,3838,3839,0.9485910137494405,0.0022423459409887277,0.2978910605112712,0.0018266672103126348,0.6011021931966146,0.005092326684913,0.18184949457645416,0.002368156411103739,0.6506999731063843,0.002215649614582802,0.9458192189534506,0.002900646627275541,0.29638081789016724,0.0030421534193848,0.608172873655955,0.008962158160758238,0.18433264891306558,0.002418905234261077,0.6494383811950684,0.0024873044489086378,0.9458192189534506,0.002900646627275541,0.11733965327342351,0.004511032216611995,0.3605653444925944,0.005489649747566929,0.10634153087933858,0.0015616949099058455,0.8284795681635538,0.0016804050726734717,0.8041551113128662,0.0032436306525308943
caltech101,PACE + PAC-Bayes,3,42 123 456,3838,3839,0.9511093497276306,0.0025403344850290326,0.036430916438500084,0.0011971638856082163,0.24145437280337015,0.004738363623241692,0.08131554474433263,0.0021795541472528833,0.9146785140037537,0.0023639140288916065,0.949639638264974,0.003298330843465255,0.035444663216670357,0.0022643917296837255,0.2478890915711721,0.007707704071286751,0.08357305576403935,0.00235757976206871,0.9141950011253357,0.001294973361481341,0.949639638264974,0.003298330843465255,0.016321375655631225,0.002952093066902696,0.22983383138974509,0.007738663522293805,0.08147445072730382,0.002520191361763779,0.9353057146072388,0.0007458679470434926,0.9206254879633585,0.002677519071851825
caltech101,PACE-KL,3,42 123 456,3838,3839,0.9518909454345703,0.001317692974677103,0.015576864903171858,0.0006841619268042377,0.20529872675736746,0.004758559974828833,0.07676836848258972,0.0018494835376805044,0.9417536457379659,0.0012296628244624856,0.9505947629610697,0.001972366740798209,0.01863887719810009,0.0012620680349572425,0.210579514503479,0.0039004049490707886,0.07927622894446056,0.002007285703810685,0.9414293567339579,0.0009715040687818034,0.9505947629610697,0.001972366740798209,0.012509070336818695,0.0024708106360055307,0.20559880137443542,0.0036535441360072544,0.07898831864198048,0.0020435938281964704,0.950407862663269,0.00048219427110893594,0.9505265752474467,0.0034343378609702577
caltech101,PACE-KL + PAC-Bayes,3,42 123 456,3838,3839,0.9488949577013651,0.0023313610963099944,0.021791907027363777,0.0011688284292272486,0.2002900242805481,0.004328440536765913,0.08028400192658107,0.002282083901064975,0.9686877131462097,0.0009337047666071192,0.9472952882448832,0.002785269612465646,0.024068474769592285,0.0006352300788042943,0.20700688660144806,0.0013600781781249495,0.08273247132698695,0.002530366677120334,0.9688819448153178,0.0006184766769391116,0.9472952882448832,0.002785269612465646,0.0216278334458669,0.0008222432044670049,0.20449917515118918,0.0012836505271299028,0.08227567623058955,0.0024626496491511056,0.9658795396486918,0.00039484503122448313,1.0416230758031209,0.0035652239755908297
cifar,LoRA,3,42 123 456,5000,5000,0.8391666611035665,0.003801728447895185,0.08304887016614278,0.0017059447554879524,0.650736669699351,0.00837626974711788,0.25211016833782196,0.004122436555519898,0.9208094477653503,0.0027637713439330838,0.8410666584968567,0.007679410851585364,0.08247058590253194,0.003277683041292359,0.6458586851755778,0.02001156047102412,0.2497213085492452,0.010217452732264643,0.9210754831631979,0.005192514136015763,0.8410666584968567,0.007679410851585364,0.06846721718708675,0.0027981143261905797,0.6181010405222574,0.020885522938607248,0.24507990976174673,0.01025439372820421,0.9061187108357748,0.005599876485592737,1.1000652313232422,0.0033514355348417567
cifar,PACE,3,42 123 456,5000,5000,0.8661666711171468,0.0006027807569034719,0.3213333586851756,0.0021282809760984124,0.99204554160436,0.0021504767101627443,0.3206004599730174,0.0005910912626574859,0.5448333422342936,0.0015571488503530351,0.8671999971071879,0.003026555126625677,0.3206684390703837,0.0016825028855001773,0.9843116203943888,0.0069923697665156435,0.31736329197883606,0.002882117868166621,0.5465315779050192,0.0014345404645027147,0.8671999971071879,0.003026555126625677,0.11125873277584712,0.002488377749509676,0.6879297097524008,0.007595266608328379,0.2226156691710154,0.004074613927334905,0.7559412519137064,0.0032207138821537303,0.78182452917099,0.002174772615498868
cifar,PACE + PAC-Bayes,3,42 123 456,5000,5000,0.8665666580200195,0.002702469091789465,0.02686504398783048,0.0026987636301665932,0.577303965886434,0.010206078966833364,0.2089876333872477,0.004638036273333466,0.8579651713371277,0.0010479969747290477,0.8673999905586243,0.006286497475286261,0.027197071040670078,0.0034004232975949848,0.5749766826629639,0.01958491048894035,0.20760124921798706,0.010140720145737973,0.8586198290189108,0.003105444580844411,0.8673999905586243,0.006286497475286261,0.030421721438566845,0.0032683273570277664,0.5677321950594584,0.019999867629897475,0.20758083959420523,0.010357463999316752,0.8741919000943502,0.003553139920997391,0.959678033987681,0.0037995600722126035
cifar,PACE-KL,3,42 123 456,5000,5000,0.8566000064214071,0.004978955299116094,0.03442419382433096,0.006001001442392627,0.5634170174598694,0.008189758293839082,0.218096857269605,0.004838042570596094,0.8552714784940084,0.03832183566464981,0.8578666647275289,0.006969473096398544,0.03293417332073053,0.007007351345590103,0.5606457789738973,0.011093836624823444,0.21603047847747803,0.008910585001234353,0.8567131360371908,0.04044524201001409,0.8578666647275289,0.006969473096398544,0.02847869445880254,0.0063847307130339695,0.5534122586250305,0.002413900785132255,0.2154604196548462,0.00746519084792095,0.8695952097574869,0.025846558553715093,0.9670336246490479,0.03302076992023336
cifar,PACE-KL + PAC-Bayes,3,42 123 456,5000,5000,0.8515666723251343,0.003513318729663888,0.0753027821580569,0.0023957027485699742,0.6008660793304443,0.01323958075135499,0.23288445671399435,0.004791192871262717,0.9257560769716898,0.0012090459873729405,0.8544666568438212,0.0055148184516708105,0.07360703001419704,0.002567964277246398,0.5902590354283651,0.014297043524155012,0.22825261453787485,0.00653884913037396,0.9268804788589478,0.002884136707934288,0.8544666568438212,0.0055148184516708105,0.060742273926734924,0.002499976644167852,0.5664778749148051,0.01427342076330309,0.2242995798587799,0.006347356636012494,0.9130032658576965,0.0035424589374854604,1.0968708197275798,0.002925695591897607
